0 4 2 0,0605454359216 1,08964 0,000295689 0,000153393 0,000162248 y
1 2 3 0,0241100460642 1,05839 0,000302083 0,000187229 0,00018095 N
2 3 2 0,0755634120675 1,08786 0,000329964 0,000184893 0,000199624 N
3 2 6 0,0362807189867 1,03646 0,000641662 0,000514385 0,000524924 N
4 8 3 0,103753483353 1,03239 0,00102858 0,000843436 0,000877847 N
5 2 3 0,166601922869 0,993392 0,00117745 0,00100106 0,00102251 N
6 4 3 0,197035454701 0,972543 0,00121931 0,00104515 0,00106603 N
7 2 3 0,232499530296 0,95589 0,00235641 0,002009 0,00206351 N
8 2 5 0,266574790017 0,938972 0,00280239 0,00262648 0,0026463 N
9 2 3 0,278743476534 0,923925 0,00292607 0,00257795 0,00266449 N
10 3 4 0,278646550346 0,92028 0,00292439 0,00261397 0,00266665 N
11 12 3 0,30091560684 0,870766 0,00350392 0,00310311 0,00316902 N
12 2 4 0,253592839376 0,919652 0,00348043 0,00316849 0,00322916 N
13 2 3 0,391124890124 0,864988 0,00550206 0,00480986 0,00499557 N
14 2 4 0,35510717405 0,830931 0,00598392 0,00560268 0,0056997 N
15 16 3 0,227910808421 0,826457 0,00687623 0,00604448 0,00619402 N
16 8 3 0,450962738883 0,819552 0,00842425 0,0076944 0,00785632 N
17 5 3 0,5 0,810249 0,00887391 0,00800675 0,00821064 N
18 2 3 0,534064898653 0,798087 0,0102274 0,00910215 0,00944354 N
19 5 3 0,571647250785 0,785827 0,011758 0,0105297 0,010857 N
20 2 4 0,506882563198 0,778071 0,0115198 0,0108465 0,0110746 N
21 2 3 0,609611782643 0,763786 0,0131498 0,0117422 0,0121901 N
22 3 4 0,590722339759 0,770255 0,0127545 0,0120351 0,0122763 N
23 2 4 0,592771396022 0,759783 0,0134854 0,0128619 0,0130943 N
24 10 3 0,569430012343 0,753103 0,0148294 0,0134841 0,0137764 N
25 2 3 0,654795564549 0,758248 0,0146595 0,013324 0,0137805 N
26 23 3 0,49018750213 0,745152 0,0156444 0,0140341 0,0143124 N
27 5 3 0,711411054066 0,75186 0,0155433 0,0142944 0,0146168 N
28 6 3 0,67594979599 0,742439 0,016272 0,014948 0,0152924 N
29 3 3 0,697388429306 0,740592 0,0161852 0,0148598 0,015301 N
30 2 4 0,619064681832 0,721047 0,0169986 0,0162408 0,0165372 N
31 12 3 0,758015111952 0,715111 0,0179455 0,0167202 0,0170063 N
